vid,name,team,map,fst,cmt,resolution,x_Subjects,MOSFull,MOSChunk00,MOSChunk05,MOSChunk10,stdFull,stdChunk00,stdChunk05,stdChunk10,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
1,10100,10,1,0,0,,,4.46340544,,,,,,,,1920,1080,yuv433p,43,,,
2,10101,10,1,0,1,,,3.04631672,,,,,,,,1920,1080,yuv434p,44,,,
3,10102,10,1,0,2,,,3.97497454,,,,,,,,1920,1080,yuv435p,45,,,
4,10103,10,1,0,3,,,2.82729579,,,,,,,,1920,1080,yuv436p,46,,,
5,10104,10,1,0,4,,,2.97984967,,,,,,,,1920,1080,yuv437p,47,,,
6,10105,10,1,0,5,,,3.61036578,,,,,,,,1920,1080,yuv438p,48,,,
7,10106,10,1,0,6,,,2.93256517,,,,,,,,1920,1080,yuv439p,49,,,
8,10110,10,1,1,0,,,4.49702169,,,,,,,,1920,1080,yuv440p,50,,,
9,10111,10,1,1,1,,,2.9144286,,,,,,,,1920,1080,yuv441p,51,,,
10,10112,10,1,1,2,,,2.6614111,,,,,,,,1920,1080,yuv442p,52,,,
11,10113,10,1,1,3,,,2.14913204,,,,,,,,1920,1080,yuv443p,53,,,
12,10114,10,1,1,4,,,2.43785072,,,,,,,,1920,1080,yuv444p,54,,,
13,10115,10,1,1,5,,,3.21257215,,,,,,,,1920,1080,yuv445p,55,,,
14,10116,10,1,1,6,,,3.38246931,,,,,,,,1920,1080,yuv446p,56,,,
15,10120,10,1,2,0,,,3.67111302,,,,,,,,1920,1080,yuv447p,57,,,
16,10121,10,1,2,1,,,2.36213746,,,,,,,,1920,1080,yuv448p,58,,,
17,10122,10,1,2,2,,,0.63120463,,,,,,,,1920,1080,yuv449p,59,,,
18,10123,10,1,2,3,,,2.49568829,,,,,,,,1920,1080,yuv450p,60,,,
19,10124,10,1,2,4,,,2.38745208,,,,,,,,1920,1080,yuv451p,61,,,
20,10125,10,1,2,5,,,3.29890794,,,,,,,,1920,1080,yuv452p,62,,,
21,10126,10,1,2,6,,,3.3322543,,,,,,,,1920,1080,yuv453p,63,,,
22,11100,11,1,0,0,,,4.41204803,,,,,,,,1920,1080,yuv454p,64,,,
23,11101,11,1,0,1,,,3.70005203,,,,,,,,1920,1080,yuv455p,65,,,
24,11102,11,1,0,2,,,3.26858408,,,,,,,,1920,1080,yuv456p,66,,,
25,11103,11,1,0,3,,,2.51136095,,,,,,,,1920,1080,yuv457p,67,,,
26,11104,11,1,0,4,,,2.08323103,,,,,,,,1920,1080,yuv458p,68,,,
27,11105,11,1,0,5,,,3.38130686,,,,,,,,1920,1080,yuv459p,69,,,
28,11106,11,1,0,6,,,3.20358866,,,,,,,,1920,1080,yuv460p,70,,,
29,11110,11,1,1,0,,,5.54505203,,,,,,,,1920,1080,yuv461p,71,,,
30,11111,11,1,1,1,,,3.09860628,,,,,,,,1920,1080,yuv462p,72,,,
31,11112,11,1,1,2,,,3.26145661,,,,,,,,1920,1080,yuv463p,73,,,
32,11113,11,1,1,3,,,2.75001808,,,,,,,,1920,1080,yuv464p,74,,,
33,11114,11,1,1,4,,,3.06769937,,,,,,,,1920,1080,yuv465p,75,,,
34,11115,11,1,1,5,,,3.16820682,,,,,,,,1920,1080,yuv466p,76,,,
35,11116,11,1,1,6,,,2.55484143,,,,,,,,1920,1080,yuv467p,77,,,
36,11120,11,1,2,0,,,4.34453502,,,,,,,,1920,1080,yuv468p,78,,,
37,11121,11,1,2,1,,,3.07333,,,,,,,,1920,1080,yuv469p,79,,,
38,11122,11,1,2,2,,,2.48562009,,,,,,,,1920,1080,yuv470p,80,,,
39,11123,11,1,2,3,,,2.49184469,,,,,,,,1920,1080,yuv471p,81,,,
40,11124,11,1,2,4,,,3.04669109,,,,,,,,1920,1080,yuv472p,82,,,
41,11125,11,1,2,5,,,2.64191865,,,,,,,,1920,1080,yuv473p,83,,,
42,11126,11,1,2,6,,,1.9547628,,,,,,,,1920,1080,yuv474p,84,,,
